algorithm,input,n,run,data_seed,pivot_seed,time_ns,time_ms,comparisons,max_depth
MergeSort,sorted,100000,2,3102526,1703210,5630800,5.630800,744016,14
MergeSort,sorted,100000,3,3102526,1703211,5596200,5.596200,744016,14
MergeSort,sorted,100000,4,3102526,1703212,5601300,5.601300,744016,14
MergeSort,sorted,100000,5,3102526,1703213,5705300,5.705300,744016,14
QuickSort,sorted,100000,1,3102526,1703209,12423100,12.423100,2039667,11
QuickSort,sorted,100000,2,3102526,1703210,11912200,11.912200,1983113,11
QuickSort,sorted,100000,3,3102526,1703211,13065600,13.065600,2201095,10
QuickSort,sorted,100000,4,3102526,1703212,13456100,13.456100,2208070,10
QuickSort,sorted,100000,5,3102526,1703213,12357400,12.357400,2001746,11
QuickSelect,sorted,100000,1,3102526,1703209,2657100,2.657100,555802,1
QuickSelect,sorted,100000,2,3102526,1703210,1145100,1.145100,236163,1
QuickSelect,sorted,100000,3,3102526,1703211,1952100,1.952100,389743,1
QuickSelect,sorted,100000,4,3102526,1703212,2298800,2.298800,446189,1
QuickSelect,sorted,100000,5,3102526,1703213,1964100,1.964100,403052,1
MergeSort,sorted,1000000,1,31002526,17003209,76768300,76.768300,9071040,18
MergeSort,sorted,1000000,2,31002526,17003210,81520300,81.520300,9071040,18
MergeSort,sorted,1000000,3,31002526,17003211,82777400,82.777400,9071040,18
MergeSort,sorted,1000000,4,31002526,17003212,111293800,111.293800,9071040,18
MergeSort,sorted,1000000,5,31002526,17003213,85712700,85.712700,9071040,18
QuickSort,sorted,1000000,1,31002526,17003209,203028000,203.028000,24717309,14
QuickSort,sorted,1000000,2,31002526,17003210,243312500,243.312500,26003594,13
QuickSort,sorted,1000000,3,31002526,17003211,220629600,220.629600,25152810,13
QuickSort,sorted,1000000,4,31002526,17003212,188743500,188.743500,25104330,13
QuickSort,sorted,1000000,5,31002526,17003213,219365700,219.365700,25445400,13
QuickSelect,sorted,1000000,1,31002526,17003209,15389400,15.389400,2516059,1
QuickSelect,sorted,1000000,2,31002526,17003210,29697500,29.697500,5390452,1
QuickSelect,sorted,1000000,3,31002526,17003211,31382600,31.382600,4619738,1
QuickSelect,sorted,1000000,4,31002526,17003212,24519000,24.519000,3284873,1
QuickSelect,sorted,1000000,5,31002526,17003213,20765200,20.765200,3062528,1
MergeSort,duplicates,1000,1,33527,20310,101400,0.101400,9140,8
MergeSort,duplicates,1000,2,33527,20311,92400,0.092400,9140,8
MergeSort,duplicates,1000,3,33527,20312,87000,0.087000,9140,8
MergeSort,duplicates,1000,4,33527,20313,85200,0.085200,9140,8
MergeSort,duplicates,1000,5,33527,20314,83000,0.083000,9140,8
QuickSort,duplicates,1000,1,33527,20310,58800,0.058800,3019,3
QuickSort,duplicates,1000,2,33527,20311,61900,0.061900,3495,2
QuickSort,duplicates,1000,3,33527,20312,57300,0.057300,3311,2
QuickSort,duplicates,1000,4,33527,20313,63300,0.063300,3233,2
QuickSort,duplicates,1000,5,33527,20314,60400,0.060400,3135,2
QuickSelect,duplicates,1000,1,33527,20310,20800,0.020800,1000,1
QuickSelect,duplicates,1000,2,33527,20311,44700,0.044700,2707,1
